seatno	assignment	score	grade	comment
001	W07	179	71	  本週的講師介紹的主題是Azure Data Services – SQL & NoSQL。講師一開始介紹自己的經歷，也給同學一些進入職場的建議，相對於沈悶的演講，我更喜歡聆聽講師職場經驗的分享。同時講師也介紹了Azure 遠端資料庫（Paas）的好處、關聯式資料庫（DBMS）、非關聯式資料庫（NoSql），最後帶著同學一起實作。  本週聽到也學到了許多新的名詞，讓我深深覺得資訊科技日新月異，我們需要學習的東西還多麽的多！  
002	W07	231	92	  本周的企業雲端應用趨勢與實務課程主要講的是NoSQL，而NoSQL是對不同於傳統的關聯式資料庫的資料庫管理系統的統稱。 兩者存在許多顯著的不同點，其中最重要的是NoSQL不使用SQL作為查詢語言。 其資料儲存可以不需要固定的表格模式，也經常會避免使用SQL的JOIN操作，一般有水平可延伸性的特徵。資料庫管理對於一家公司而言是非常重要的，若能好好學習這方面的相關資訊，想必對以後的工作是有很大的幫助，大三的時候就已經學過了一些，希望透過今天可以更精進資料庫的操作，也謝謝講師的用心演講。  
003	W07	204	83	  藉由講述自己的經歷於，微軟不只只從事過一個職位，在其他職位更學學習到不同以往的知識與經驗，並表達了出社會後態度的重要，更重要的是做人而不只是單單的做事，PPT顯示了客戶現今遇到的挑戰，不管是BigData、AI，硬體成本，效能以及維運不易等等的困難，讓我們大概了解iaas和platform的功能，說明Azure雲端資料庫的好處(Paas)，讓前面客戶現今遇到的挑戰一一獲得解決，例如:無須硬體成本、彈性效能擴展、全球靈活部屬、智能化維護，系統三層式架構的說明，關聯式資料庫的細說，利用多個Table做關聯，再用SQL來使用，與非關聯式資料庫的不同，實作  
004	W07	202	82	  這禮拜的講師名字叫做Justin. 他主要講解的能容是Azure Data Platform。數位時代的來臨，數據資料決定一切。企業資料越來越多樣化，也讓企業面臨更多硬體成本，效能低落，快速全球部屬，維運不易的挑戰。Azure提供無須硬體成本，彈性效能擴展，全球靈活部屬，智能化維運的優勢。縮短的資料處理速度。  關聯式資料庫建立在關聯模型基礎上的資料庫，藉助於集合代數等數學概念和方法來處理資料庫中的資料。現實世界中的各種實體以及實體之間的各種聯絡均用關聯模型來表示。很多人可以用 可用SQL語法來找出資料，用2/3個table連接。  非關聯式資料庫是使用針對所要儲存之資料類型的特定需求所最佳化的儲存體模型。比方說， 資料可能會儲存為簡單的索引鍵/值組、JSON 文件，或包含邊緣和頂點的圖表。這些資料存放區的共通點是它們都未使用關聯式模式。依客戶需求做出來的概念，解決企業問題。  
005	W07	202	82	  介紹Azure雲端資料庫 (PaaS) 好處  介紹關聯式資料庫: 關聯式資料庫是一組資料項目，項目之間具有預先定義的關係。表格會儲存資料庫中所要表示的物件的相關資訊。  介紹非關聯式資料庫: 這種資料庫不會使用可在大部分傳統資料庫系統中看到的表格式資料列和資料行結構描述。資料可能會儲存為簡單的索引鍵/值組、JSON 文件，或包含邊緣和頂點的圖表。  今天的SQL Database具有內建的高可用性、備份和其他常見的維護作業。 Microsoft 會處理所有的 SQL 和作業系統程式碼修補和更新。 您不需要管理基礎結構。  我暫時覺得phpMyAdmin的資料庫比較方便，一個html網站只要用4~5行php語法就可以連線database，只要設定好database的資料表與欄位，就可以在html網頁上進行新增，刪除，修改。所以目前對我來說，我會覺得phpMyAdmin的資料庫那個比較方便，只是可能安全性偏低而已。  
006	W07	163	64	  關於一個資料的專業度，包含real-time 分析，或者是行動裝置的app 都比使用安裝於NoSQL(NOT ONLY SQL)的non-real-time 分析的儲存裝置選擇好，而事實NoSQL的資料庫傳統上來說是建立分散和部分穿插許多伺服器上，他們是建置於被使用高獲取姓和彈性，足夠去處理半結構化的和非結構化的資料，如果你有資料模型持續性的包含在裡面而你想要更快速的運行，這就是你所需要的資料庫。在這個課程裡，去完成階段性的實際操作，和最後的考試，去參與專家們學習如何NoSQL，尋求更多關於non- real-time的存取裝置在Azure裡頭。  
007	W07	243	98	  當聽到資料庫時有吸引到我的注意，因為當時在做專題時我們組員們在關聯式資料庫與非關聯式資料庫之間徘徊，到底要使用哪一個，而且也不清楚兩個之間的概念與做法到底差在哪裡，所以我們最後還是使用我們自己比較熟悉的關聯式資料庫，到了今天，才聽到講師說明了，並不是所有的專案都適合NoSQL，NoSQL 適合的一點是搜集數據，例如很多手機都會偷偷搜集資料並回傳，做一些數據分析，這時欄位會有很多個，而且一旦你想要儲存新的追蹤資訊的時候，你就必須去改一次資料庫，這是很麻煩的行為。  
008	W07	236	96	  講師說現今客戶遇到的挑戰就是「大數據」，工作上的職缺也一直都有，因為資料取決於一切，不再是只靠經驗就可以，必須要有數據去分析、做決策，所以如果有往這方面卻鑽研其實是很吃香的！聽完講師的介紹跟他的經驗分享後，就好希望自己對於大數據是擅長的哈哈。  課程還有詳細介紹資料庫，因為本身以後也想走管理資料庫的方面，大三時學過就覺得還滿好玩的，所以這次講師在介紹時也比較聽得懂是在說什麼，這一次資料庫的實作也比以前看得懂在幹嘛，可能是因為有一點點的基礎概念吧！製作專題實也有用到資料庫，感覺多學幾種不同的也不錯！  
009	W07	218	87	  這禮拜的講座是在講SQL server和資料庫的介紹，經過了這麼多個禮拜真的覺得Azure的功能真的比我想像的還要多，感覺甚麼功能都有，就像哆啦A夢的百寶袋一樣。  這次的講座課除了講師在講的SQL server和資料庫有印象外，還有一個我最有印象的是講師講過的一句話，”打工要打在對的時間”，剛好最近我一直在猶豫打工的事情，這困擾了我很久，到底這個時間打工好不好或適不適合，聽完講師說完這句話就覺得其實並不一定要逼自己去找打工，好好做好目前該做的事就好，有多餘的時間或想透過打工累積經驗再去找其實也不遲。  
010	W07	195	80	  經過這禮拜的講者介紹完Azure SQL Database Service之後，我明白了Azure SQL Database 是一般用途的關係資料庫，以受控服務形式提供。 有了此功能，我可以在 Azure 中的應用程式和解決方案建立高度可用且高效能的資料儲存層。 SQL Database 可以是適用于各種新式雲端應用程式的正確選擇，因為它可讓我有辦法處理關聯式資料和非關聯式結構。可以使用安全且完全受控之企業級資料庫服務的組合，享有開放原始碼資料庫引擎的支援，以支援急速成長，並省下更多時間來進行創新。跟著講師動手實作之後，也對操作熟練許多。  
